train_loss,val_loss,train_acc,val_acc
0.9544699988592239,0.7370535900327895,0.5661904761904762,0.7553333333333333
0.8180954424767267,0.6864370761977302,0.6893809523809524,0.7931111111111111
0.7825708463305519,0.6746254138416714,0.7212380952380952,0.8
0.642693234761556,0.5263699390623304,0.8219047619047619,0.9024444444444445
0.5436435120900472,0.48429822799894545,0.8863333333333333,0.9182222222222223
0.5077198606672741,0.4619325166808234,0.904952380952381,0.9288888888888889
0.48545599167687553,0.4430682333840264,0.9142857142857143,0.9386666666666666
0.4767220483507429,0.44357515446345014,0.9208571428571428,0.9355555555555556
0.46779606074378605,0.43475856394237944,0.9231428571428572,0.9393333333333334
0.4633014786811102,0.4366698089705573,0.9250952380952381,0.9377777777777778
0.4572816716375805,0.4358319599363539,0.9268095238095239,0.9355555555555556
0.4509246629760379,0.42882535044352216,0.9304761904761905,0.942
0.44870539455186753,0.4262390069431729,0.9311428571428572,0.9426666666666667
0.44631489216713677,0.43018459362453887,0.9322857142857143,0.9406666666666667
0.4424226390066601,0.42598750564787125,0.9321904761904762,0.9426666666666667
0.44076331349781583,0.4241105826165941,0.935,0.9435555555555556
0.43809009660993303,0.4240591425895691,0.9352857142857143,0.9431111111111111
0.436953498113723,0.4238673825793796,0.9355714285714286,0.9431111111111111
0.43523070337658837,0.4252525846693251,0.9363333333333334,0.942
0.4370784034274873,0.42379292461607193,0.9354285714285714,0.9433333333333334
