train_loss,val_loss,train_acc,val_acc
1.0686637858209156,1.005079880502489,0.4270952380952381,0.5413333333333333
1.014130914506458,0.9670272740258111,0.5156666666666667,0.5448888888888889
0.9889149993260702,0.9434015536838107,0.5422857142857143,0.5882222222222222
0.8440343269847688,0.7056382551723056,0.6651428571428571,0.7644444444444445
0.7138989864076887,0.696211852285597,0.765,0.7722222222222223
0.6660168031056722,0.5944665741390652,0.7994761904761905,0.8397777777777777
0.6359648455211094,0.5748161778979831,0.8155714285714286,0.8548888888888889
0.6143895384243556,0.5672072233623928,0.831,0.8508888888888889
0.5954955478395735,0.5689246685240004,0.8426190476190476,0.8573333333333333
0.5877878189200447,0.5822971572875977,0.8454285714285714,0.8402222222222222
0.5723553804442996,0.5277964482307435,0.8559523809523809,0.8788888888888889
0.5595887924148922,0.5180929204093085,0.8624761904761905,0.8844444444444445
0.5545011631647746,0.5171382703781128,0.8668571428571429,0.8873333333333333
0.5418549177078974,0.5173056219948663,0.8741428571428571,0.8893333333333333
0.5362636619295392,0.517293717013465,0.8771904761904762,0.8877777777777778
0.5318939960911161,0.5047750120162964,0.8798571428571429,0.8931111111111111
0.5295687831469944,0.5041129832267761,0.8833333333333333,0.8953333333333333
0.5253273990835462,0.5034824439154731,0.8838095238095238,0.8953333333333333
0.524769931884039,0.502918564054701,0.8853333333333333,0.8957777777777778
0.5231836924439385,0.5017208343082004,0.8854285714285715,0.898
