Model,Accuracy,MacroF1,Kappa
S1_100,0.9433831191385897,0.9392329835933383,0.9138432089864487
S1_50,0.9072594650920458,0.9023832084713707,0.8589904453095506
S2_100,0.812,0.811485726778371,0.718
