Model,Accuracy,MacroF1,Kappa
S1_100,0.8822507815213616,0.8760559696136414,0.8208747063921444
S1_50,0.8423063563737408,0.8353147656431973,0.7602049914470705
S2_100,0.748,0.7477311130758805,0.622
